id,name,review_count,categories1,categories2,categories3,rating,price,address1,address2,address3,city,zip_code,latitude,longitude,nlp_avg_score,cluster5
be7zagjfrCYN9EQ5ijld5w,Pollo D' Oro,343,peruvian,cocktailbars,breakfast_brunch,4.0,$$,306 Gold St,,,Brooklyn,11201,40.69506,-73.98339,0.516200455,3
cPhCdxpaMp41po8j8NN65g,Bourke Street Bakery,25,bakeries,australian,cafes,4.0,$,180 Morgan St,,,Jersey City,7302,40.7202239,-74.0413817,0.43787992000000003,3
hol0xoP_4m4EmJBo9fLszQ,Kimchi Guys,22,korean,chicken_wings,salad,4.0,,172 Newark Ave,,,Jersey City,7302,40.72159196,-74.04502284,0.44367541,3
szyoiJXuX8shNnsm8-Bffg,Cafe Atelier,50,cafes,,,4.5,,112 Hudson St,Unit 1,,New York,10013,40.719573,-74.008365,0.46321116,3
NoxA3MUaKFjkbGrawkPehA,District Kitchen,16,food_court,,,4.0,,210 Hudson St,,,Jersey City,7311,40.71779791,-74.03415657,0.48843619375,3
AImhpHnwq_1qJeopUzdohA,House Of The Red Pearl,62,chinese,asianfusion,,4.0,,96 South St,,,New York,10038,40.70659,-74.00266,0.59942316,3
_LF3ULe-5TI92CTJcWEz5g,South House,722,southern,cocktailbars,musicvenues,3.5,$$,149 Newark Ave,,,Jersey City,7302,40.7205,-74.0442,0.376224705,2
buZ1-T3rdV_1d5gHreJD6w,Sullivan Taqueria,31,tacos,,,4.5,,71 Sullivan St,,,New York,10012,40.72447,-74.0039,0.5576097250000001,3
e4ZSziGRyYn17eK5svAs9g,Taco Drive,33,tacos,vegan,,4.5,,195 Newark Ave,,,Jersey City,7302,40.72131472,-74.0459879,0.4188156,3
fNAIjp3E05b9lCQesnol8g,The Old Spot,69,chinese,hotpot,bbq,3.5,,523 Jersey Ave,,,Jersey City,7302,40.72108,-74.04676,-0.015270840000000003,3
t4B9GkAuiYIjFCt9SlK3EQ,Poke Bowl,355,poke,sushi,,4.0,$$,127 Fulton St,,,New York,10038,40.71034029,-74.007182,0.256193925,3
1Wg38WVhwsoBosXd3Q0-mQ,Cangiano’s Marketplace ,103,sandwiches,italian,,4.5,,225 Pavonia Ave,,,Jersey City,7302,40.72733,-74.043288,0.8195492950000001,3
4pj4ol7lXiytDD-BTKe3kg,Las Santas,336,mexican,cocktailbars,breakfast_brunch,4.0,$$,572 Fulton St,,,Brooklyn,11217,40.6882,-73.97953,0.45454342499999995,3
9AUVb5HNQl2117Nkl7sP-Q,Takahachi Tribeca Restaurant,279,sushi,japanese,noodles,4.0,$$$,145 Duane St,,,New York,10013,40.71659,-74.007919,0.5041938349999999,3
KxOAVoyJ55G-gEQqhnBpAQ,Daigo Handroll Bar,129,sushi,,,4.5,$$,445 Albee Sq,,,Brooklyn,11201,40.690884,-73.982863,0.609231215,3
lQ87D3INFtCoGAuo715_jw,Mama Capri,105,italian,seafood,,4.5,$$,247 Smith St,,,Brooklyn,11231,40.68332,-73.99264,0.53078705,3
w7pT9wF_0SOEatSpeaFwkQ,T Brasserie,42,french,breakfast_brunch,,3.5,,96 South St,,,New York,10038,40.70629216,-74.00225131,0.6412309350000001,3
5QMCREABTGv5WQFxlI05tg,Diem Eatery,49,coffee,vietnamese,gelato,4.5,$$,79 Atlantic Ave,,,Brooklyn,11201,40.69129,-73.99756,0.42486584499999996,3
xQIoNs3vJXWgJPRddiSryg,Bluestone Lane,26,coffee,gluten_free,breakfast_brunch,4.0,,30 Hudson St,,,Jersey City,7302,40.713366,-74.034027,0.50860889,3
QvQilClGyuKFz08TBsoJNA,Le District - Market District,603,french,grocery,,3.5,$$$,225 Liberty St,,,New York,10281,40.71264736,-74.01577846,0.44311895,2
YdFFUP3-PBzBsE3j75XwaQ,Panzerotti Bites,175,italian,,,5.0,$$,235 Smith St,,,Brooklyn,11231,40.683715,-73.99227,0.560713805,3
7bpZZUpEclhn29wWVqFsKA,Lucky Rabbit Noodles,47,tapasmallplates,noodles,,4.5,$$,140 Plymouth St,,,Brooklyn,11201,40.70375,-73.98809,0.7109399,3
